Date,Open,High,Low,Close,Adj Close,Volume
8/22/2007,14.225,14.547,14.133,14.482,11.369215,26579000
8/23/2007,14.587,14.6,13.851,14.229,11.170593,28979000
8/24/2007,14.225,14.225,13.817,13.983,10.977472,21411000
8/27/2007,13.843,14.091,13.685,13.825,10.853432,17320000
8/28/2007,13.643,13.75,13.01,13.212,10.37219,43370000
8/29/2007,13.343,13.51,13.001,13.342,10.474246,32859000
8/30/2007,13.1,13.445,13.025,13.247,10.399667,21816000
8/31/2007,13.57,13.944,13.496,13.699,10.754512,26836000
9/4/2007,13.827,13.99,13.615,13.824,10.852645,18774000
9/5/2007,13.675,13.675,13.429,13.556,10.642249,18708000
9/6/2007,13.791,13.798,13.406,13.477,10.58023,14021000
9/7/2007,13.11,13.203,12.954,13.021,10.222242,24775000
9/10/2007,13.072,13.196,12.663,12.971,10.182987,26566000
9/11/2007,13.005,13.451,13.005,13.217,10.376117,21414000
9/12/2007,13.25,13.736,13.111,13.683,10.741951,20314000
9/13/2007,13.87,14.236,13.506,13.95,10.951558,30850000
9/14/2007,13.778,13.899,13.577,13.785,10.822028,17735000
9/17/2007,13.744,13.825,13.5,13.672,10.733315,13905000
9/18/2007,13.818,14.894,13.58,14.581,11.446932,51943000
9/19/2007,14.901,15.2,14.69,14.95,11.736618,46679000
9/20/2007,15,15.15,14.812,14.951,11.737408,19478000
9/21/2007,15.09,15.19,14.642,14.656,11.505814,20380000
9/24/2007,14.75,14.762,13.885,14.226,11.168235,51088000
9/25/2007,14.036,14.38,13.918,14.299,11.225546,39858000
9/26/2007,14.297,14.439,14,14.285,11.214558,27927000
9/27/2007,14.426,14.997,14.158,14.8,11.618861,41029000
9/28/2007,14.682,15.223,14.523,14.797,11.616506,45856000
10/1/2007,14.773,15.488,14.773,15.337,12.040438,37139000
10/2/2007,15.474,15.524,15.163,15.298,12.009818,19175000
10/3/2007,15.2,16.035,15.179,15.694,12.320704,52716000
10/4/2007,15.769,16.339001,15.766,16.155001,12.682617,32499000
10/5/2007,16.43,16.487,15.953,16.246,12.754055,20242000
10/8/2007,16.299999,16.389,15.874,16.236,12.746208,18732000
10/9/2007,16.325001,16.450001,16.201,16.268999,12.772111,21574000
10/10/2007,16.247999,16.724001,16.200001,16.482,12.93933,35650000
10/11/2007,16.531,16.931999,15.821,16.184,12.70538,41314000
10/12/2007,16.263,16.495001,16.166,16.320999,12.812933,17367000
10/15/2007,16.320999,16.365,15.63,15.791,12.396852,25584000
10/16/2007,15.639,15.7,15.416,15.56,12.215508,22804000
10/17/2007,15.8,15.839,15.135,15.461,12.255932,25717000
10/18/2007,15.325,15.546,15.1,15.372,12.185385,18625000
10/19/2007,15.325,15.407,15.036,15.16,12.017329,17249000
10/22/2007,14.999,15.368,14.536,14.659,11.620187,55353000
10/23/2007,14.936,15.239,14.725,14.833,11.75812,44903000
10/24/2007,14.8,14.8,14.315,14.73,11.676468,33190000
10/25/2007,14.701,15.249,14.435,15.138,11.999891,83902000
10/26/2007,15.399,15.968,15.399,15.703,12.447767,28525000
10/29/2007,15.91,16.155001,15.691,15.735,12.473134,16100000
10/30/2007,15.806,15.833,15.368,15.715,12.457278,30701000
10/31/2007,17.75,19.478001,17.41,18.990999,15.054158,202782000
11/1/2007,18.606001,19.855,18.535,18.948,15.020076,96031000
11/2/2007,19.174999,19.6,18.722,19.004,15.06447,49532000
11/5/2007,18.561001,19.056,18.231001,18.593,14.738668,41508000
11/6/2007,19.246,20.299999,18.931999,19.940001,15.806439,77781000
11/7/2007,19.9,20.198,19.421,19.948,15.81278,51340000
11/8/2007,20.002001,20.097,18.275,19.143999,15.175447,46869000
11/9/2007,18.5,19.950001,18.4,19.299999,15.299106,43357000
11/12/2007,19.083,19.642,18.025,18.188,14.417624,42963000
11/13/2007,18.341999,19.223,18.341999,18.881001,14.966968,30036000
11/14/2007,19.423,19.423,18.603001,18.677,14.805257,21584000
11/15/2007,18.5,18.847,18.209999,18.488001,14.655438,20744000
11/16/2007,18.6,18.698999,17.950001,18.487,14.654648,25890000
11/19/2007,18.287001,18.698,17.85,18.190001,14.419213,24432000
11/20/2007,18.35,18.731001,17.558001,18.212,14.436647,23650000
11/21/2007,17.929001,18.4,17.65,18.091999,14.341524,24148000
11/23/2007,18.360001,18.382,17.929001,18.110001,14.355803,6567000
11/26/2007,18.375,18.848,18.112,18.121,14.364512,25251000
11/27/2007,18.448999,18.759001,17.950001,18.386,14.574581,30418000
11/28/2007,18.669001,19.809999,18.6,19.559999,15.505212,53001000
11/29/2007,19.5,20.299,19.4,19.774,15.674851,38497000
11/30/2007,20.466,20.643,19.686001,20.065001,15.905525,32381000
12/3/2007,20,20.448999,19.705,20.188,16.003025,27006000
12/4/2007,20,20.091999,19.451,19.579,15.520277,27743000
12/5/2007,20,20.25,19.643999,20.007,15.85955,28582000
12/6/2007,20.099001,20.832001,19.9,20.601999,16.331202,39270000
12/7/2007,20.662001,21.174999,20.450001,20.959999,16.614985,35354000
12/10/2007,21.1,21.843,21.099001,21.546,17.079517,32820000
12/11/2007,21.933001,22.718,21.504,21.75,17.241224,87330000
12/12/2007,22.438999,22.525,21.218,21.389999,16.955849,43313000
12/13/2007,21.299999,22.488001,21.155001,22.32,17.693054,47987000
12/14/2007,22.033001,22.319,21.315001,21.656,17.166714,36783000
12/17/2007,21.657,21.657,20.202999,20.493,16.244802,41145000
12/18/2007,20.85,20.870001,19.85,20.177,15.994303,37059000
12/19/2007,19.976999,21.299999,19.75,21.233999,16.832186,44661000
12/20/2007,21.556,21.700001,20.320999,20.674999,16.389074,41105000
12/21/2007,20.976999,21.235001,20.356001,21.235001,16.832979,50920000
12/24/2007,21.200001,21.395,20.968,21.212,16.814749,10526000
12/26/2007,20.889999,21.075001,20.700001,20.948,16.605482,12477000
12/27/2007,20.9,21.596001,20.805,21.003,16.649075,20166000
12/28/2007,21.115,21.347,20.851,21,16.646698,9901000
12/31/2007,21.013,21.740999,21.013,21.52,17.058903,13115000
1/2/2008,21.790001,22.028999,21.26,21.468,17.017677,20156000
1/3/2008,21.455999,21.504999,20.513,21.212,16.814749,28994000
1/4/2008,20.482,20.92,19.844,20.118999,15.948328,38427000
1/7/2008,20.171,20.198999,18.743999,20.051001,15.89443,43861000
1/8/2008,20.091,20.77,19.599001,19.799999,15.695451,33315000
1/9/2008,19.700001,20.021,18.965,19.658001,15.701852,38939000
1/10/2008,19.087999,19.879999,18.511999,19.599001,15.654724,49088000
1/11/2008,18.950001,18.951,17.625,17.917,14.311225,114625000
1/14/2008,18.055,18.190001,17.354,17.822001,14.23534,61119000
1/15/2008,17.375,18.146,17.254,17.5,13.978144,48097000
1/16/2008,17.32,17.987,16.961,17.552999,14.020479,46756000
1/17/2008,17.427999,17.969,17.427999,17.688,14.128308,43309000
1/18/2008,17.858,17.975,17.337999,17.462,13.947788,38220000
1/22/2008,16.400999,18.492001,16.082001,18.216999,14.550843,52866000
1/23/2008,17.879999,19.527,17.042999,19.259001,15.383153,59780000
1/24/2008,19.405001,19.409,18.493,19.177999,15.318448,31668000
1/25/2008,19.351,19.6,18.750999,19.343,15.45024,31981000
1/28/2008,19.040001,19.382,18.429001,18.9,15.096392,33537000
1/29/2008,18.900999,19.243,18.450001,19.146,15.292887,33954000
1/30/2008,19.004999,19.771,18.799999,18.9,15.096392,37193000
1/31/2008,20.601999,21.844999,19.959999,20.700001,16.534153,110865000
2/1/2008,21.066999,21.735001,20.966,21.542,17.206694,45387000
2/4/2008,21.5,22.225,21.431,21.6,17.253023,35336000
2/5/2008,21.375999,21.599001,20.587999,20.677999,16.516573,39437000
2/6/2008,20.799999,20.799999,19.885,20.495001,16.370409,49293000
2/7/2008,20.201,20.51,19.516001,20.087999,16.045309,38501000
